fg_made,kick_distance,down,ydstogo,qtr,game_seconds_remaining,score_differential,home,indoor,temp,wind,precipitation,grass
1,47,4,1,1,3239,3,0,1,70,0,0,0
0,35,4,7,4,438,4,0,1,70,0,0,0
1,23,4,5,4,211,4,0,1,70,0,0,0
1,43,4,15,1,2832,0,1,0,65,6,0,1
1,23,4,5,2,2695,3,1,0,65,6,0,1
1,33,4,6,2,2460,-7,0,0,52,12,0,1
0,41,1,23,2,1805,-3,1,0,52,12,0,1
1,49,4,7,4,406,3,0,0,52,12,0,1
0,48,4,9,2,2127,0,1,0,52,6,0,1
1,27,4,9,3,1543,0,1,0,52,6,0,1
1,31,4,12,3,1347,-3,0,0,52,6,0,1
1,33,4,7,4,845,0,0,0,52,6,0,1
1,30,4,6,4,190,3,0,0,52,6,0,1
1,24,4,6,2,2502,-7,0,0,47,25,0,1
0,43,4,11,2,2014,4,1,0,47,25,0,1
0,49,4,14,2,1824,-4,0,0,47,25,0,1
0,45,4,13,4,851,11,1,0,47,25,0,1
1,25,4,7,2,1837,28,1,1,70,0,0,0
0,53,2,10,2,1804,-24,0,1,70,0,0,0
1,35,4,16,4,698,31,1,1,70,0,0,0
1,26,4,4,2,2377,5,0,0,73,6,1,1
1,52,4,1,2,1802,15,0,0,73,6,1,1
1,28,4,5,1,2992,0,0,1,70,0,0,0
1,39,4,6,2,2451,-4,0,1,70,0,0,0
1,31,4,10,3,1538,-6,1,1,70,0,0,0
0,36,4,9,4,759,-3,1,1,70,0,0,0
1,19,4,1,4,74,4,1,1,70,0,0,0
1,37,4,13,1,3132,0,1,0,48,8,0,1
1,47,4,10,1,2793,3,1,0,48,8,0,1
1,40,4,3,2,2378,-6,0,0,48,8,0,1
1,38,3,6,2,1804,-4,1,0,48,8,0,1
1,41,4,12,3,1166,-8,1,0,48,8,0,1
1,31,4,9,4,554,5,0,0,48,8,0,1
1,51,4,8,3,1635,14,1,0,48,12,0,1
1,31,4,3,3,1030,24,1,0,48,12,0,1
1,25,4,2,1,3038,0,1,1,70,0,0,0
1,31,4,12,2,1823,4,0,1,70,0,0,0
1,31,4,1,4,818,-7,0,1,70,0,0,0
1,43,4,12,2,2345,-14,0,0,50,10,0,0
1,36,4,10,2,2174,11,1,0,50,10,0,0
1,21,4,2,4,752,28,1,0,50,10,0,0
1,43,4,8,1,3300,0,0,0,68,14,1,1
1,42,3,10,2,1812,-10,0,0,68,14,1,1
1,35,4,6,3,1499,-7,0,0,68,14,1,1
1,36,4,18,4,480,-4,0,0,68,14,1,1
0,38,4,10,1,2764,7,0,0,83,7,0,1
1,32,4,12,3,1388,-7,1,0,83,7,0,1
1,25,4,3,4,704,4,0,0,83,7,0,1
